page,text,label,summary
1,9. Hukuk Dairesi,Mahkeme bilgisi,"Bu metin, 9. Hukuk Dairesi adlı bir mahkeme hakkında bilgi içeriyor."
1,ESAS NO : 2016/25300,Dosya bilgisi,"Dosyanın, 2016/25300 numaralı dava dosyasının referans numarasıdır."
1,KARAR NO : 2016/21744,Dosya bilgisi,"Bu, bir mahkeme kararının dosya numarasını (2016/21744) gösteren bir bilgi parçacığıdır."
1,Y A R G I T A Y   İ L A M I,Genel bilgi,"Bu metin, Yargıtay İlamı'nın kısaltılmış bir versiyonu olarak karşımıza çıkmaktadır."
1,MAHKEMESİ : BAKIRKÖY 29. İŞ MAHKEMESİ,Mahkeme bilgisi,Bakırköy 29. İş Mahkemesi'nin mahkeme adı ve bulunduğu yer belirtiliyor.
1,TARİHİ : 25/03/2016,Genel bilgi,"Bu metin, bir olayın veya belgenin tarihi bilgisini içeriyor."
1,NUMARASI : 2016/86-2016/115,Dosya bilgisi,Mahkeme dosya numarası: 2016/86-2016/115
1,DAVACI : AT VE TİC LTD ŞTİ. ADINA AVUKAT RK,Taraf bilgisi,Davacı AT VE TİC LTD ŞTİ.'nin avukatı RK'dır.
1,DAVALI : CK,Taraf bilgisi,Davacı şirketin (CK) adı belirtilmiştir.
1,"DAVA : Davacı, arabulucu ve taraflar arasında düzenlenen arabuluculuk tutanağına icra edilebilirlik şerhi verilmesine karar verilmesini istemiştir.",Dava konusu,"Davacı, arabuluculuk tutanağının icra edilebilirliği hakkında mahkemeden karar talep etmektedir."
1,"Yerel mahkemece, davanın reddine karar verilmiştir.",Karar sonucu,"Yerel mahkeme, davanın reddine karar vermiştir."
1,"Hüküm süresi içinde davacı avukatı tarafından temyiz edilmiş olmakla, dava dosyası için Tetkik Hakimi  tarafından düzenlenen rapor dinlendikten sonra dosya incelendi, gereği konuşulup düşünüldü:",Dava konusu,"Dava dosyası incelendi, tetkik hakiminin raporu dinlendi ve dava konusu değerlendirildi."
1,Y A R G I T A Y     K A R A R I,Karar sonucu,Yargıtay tarafından verilen bir kararın başlığı.
1,Taraflar arasındaki uyuşmazlık arabulucu ve taraflar arasında düzenlenen arabulucu tutanağına mahkemece icra edilebilirlik şerhinin verilmesi gerekip gerekmediği noktasında toplanmaktadır.,Dava konusu,"Uyuşmazlık, arabulucu tutanağının mahkemece icra edilebilirliğinin mümkün olup olmadığına odaklanmaktadır."
1,"Somut uyuşmazlıkta davacı şirket vekili davalı işçi ile işçi alacaklarının belirlenmesi ve ödenmesine ilişkin arabulucu nezaretinde anlaşmaya varıldığını, bu konuda 04.02.2016 tarihli tutanağın düzenlendiğini belirterek bu belgeye icra edilebilirlik şerhi verilmesini talep etmiştir.",Dava konusu,"Davacı şirket, işçi alacaklarının belirlenmesi ve ödenmesi için arabulucu nezaretinde anlaşmaya varıldığını bildirerek icra edilebilirlik şerhi talep ediyor."
